em_t,base_month,emd_nm,area,em_area_cd_cnt,resid_reg_pop,foreign_pop,d_visit_pop_cnt,l_visit_pop_cnt,s_visit_pop_cnt,pre_mm
26.46,2,영천동,46.33,34,5238.75,177.75,12678.88,726.16,134.05,47.3
13.09,2,예래동,37.3,18,3994.5,237.75,22051.76,574.74,616.49,60
54.47,2,오라동,28.74,81,14931.25,230.5,42968.83,682.07,150.79,45.7
90.06,2,외도동,2.56,64,21535.5,291.5,16926.6,280.7,147.82,48.5
33.42,2,용담1동,0.61,25,7353.25,88.25,15181.66,190.12,57.57,45.7
60.61,2,용담2동,4.93,59,15184,232,39313.53,792.15,2335.92,45.7
40.94,2,이도1동,0.69,25,7755.25,132.75,30025.59,451.85,150.99,52.8
18.11,2,이호동,2.56,33,4450.75,165.25,10090.91,229.27,180.86,48.5
16.83,2,일도1동,0.33,10,2770.75,87,8916.6,274.17,54.95,52.8
149.56,2,일도2동,2.18,81,33885.25,294,39466.4,407.07,129.33,52.8
19.89,2,정방동,0.44,10,2294.75,116.75,13778.31,726.61,215.35,50.5
21.49,2,조천읍,150.6,137,24520.75,582.75,38181.48,877.07,257.12,39.8
49.91,2,중문동,56.44,41,11197.75,306,16590.04,900.98,252.41,56
41.8,2,중앙동,0.35,5,3734,95.25,15416.28,306.41,66.95,50.5
27.56,2,천지동,1.39,11,3536,108.5,6381.23,240.67,106.63,50.5
19.45,2,표선면,135.16,47,12303.75,410.5,18698.93,573.61,210.88,76.7
7.22,2,한경면,79.1,71,9044.75,357.75,11240.07,600.45,62.29,43.9
26.56,2,한림읍,91.09,111,21208.5,3552.75,28620.17,2179,355.5,51.1
101.98,2,화북동,8.29,77,24801,386,33391.15,327.23,26.94,52.8
15.24,2,효돈동,6.6,21,5292.5,76.5,5924.52,104.02,16.58,47.3
41.05,3,건입동,2.53,30,9339.5,242.75,24271.57,804.57,389.85,93.7
13.27,3,구좌읍,185.93,104,15530.75,593.5,28933.4,881.58,250.27,125.6
46.51,3,남원읍,188.71,52,18935.25,715.25,25098.68,1391.81,502.05,120.1
251.57,3,노형동,45.21,160,54102.75,2098.75,84320.92,2867.35,1136.58,85.5
48.67,3,대륜동,22.24,36,14355.5,198.25,29616.23,663.23,200.46,95.9
81.85,3,대정읍,78.63,86,21445,1670.25,25023.33,2126.36,222.63,97.2
49.23,3,대천동,56.44,36,13653.75,222.5,20810.39,476.78,130.68,95.9
16.1,3,도두동,4.03,25,3157.5,121.75,11708.13,295.46,712.23,85.5
94.07,3,동홍동,14.3,49,22987.25,1182.25,28301.14,648.44,119.65,135.3
13.94,3,봉개동,47.34,32,4919.25,86.75,16648.4,567.72,157.78,99.8
63.75,3,삼도1동,1.27,31,13908,147.75,23278.51,294.48,103.59,93.7
34.48,3,삼도2동,0.83,29,8252.5,253.5,20211.01,390.58,457.13,93.7
99.42,3,삼양동,9.53,73,25185.25,245.75,18191.98,232.04,55.32,99.8
36.92,3,서홍동,14.71,21,10587.5,120,13323.95,931.71,847.07,135.3
42.64,3,성산읍,91.09,58,15416.75,1659.5,30907.39,1343.76,618.94,157.7
20.97,3,송산동,4.8,19,4275.75,542.25,5905.18,772.18,39.45,103.9
120.54,3,아라동,70.64,113,34526.5,1146.25,70268.07,1323.82,215.95,121.7
27.56,3,안덕면,105.6,67,11883.5,594,34634.72,1850.91,883.59,92.6
29.01,3,영천동,46.33,33,5240.5,174.75,15807.93,995.25,113.08,106.6
13.96,3,예래동,37.3,18,3998.5,237,22210.12,611.21,493.28,93.2
57.18,3,오라동,28.74,81,15006.25,223.75,45582.29,748.93,146.44,85.5
94.94,3,외도동,2.56,65,21560.5,291.5,17810.2,310.42,107.68,89.5
35.51,3,용담1동,0.61,25,7330.25,87,16143,181.37,59.19,85.5
63.06,3,용담2동,4.93,59,15137.75,231,40522.99,724.02,2360.45,85.5
45.74,3,이도1동,0.69,25,7728.5,130.5,32360.29,466.1,130.55,93.7
19.18,3,이호동,2.56,33,4479.5,166,11102.79,304.9,169.42,89.5
19.22,3,일도1동,0.33,10,2752,85.25,10025.73,301.55,55.14,93.7
156.81,3,일도2동,2.18,81,33810.25,290,38807.24,394.65,145.7,93.7
20.48,3,정방동,0.44,9,2279.5,115,13727.27,970.75,175.74,103.9
25.26,3,조천읍,150.6,137,24545.75,578.5,42438.68,1156.72,291.15,94.7
51.47,3,중문동,56.44,41,11216.5,306.75,18588.37,1058.86,344.55,88.3
42.65,3,중앙동,0.35,5,3704.25,94.75,17183,345.31,76.89,103.9
28.99,3,천지동,1.39,11,3532.5,107,6528.25,258.01,87.94,103.9
22.69,3,표선면,135.16,47,12294,406,21365.34,704.74,276.74,165.9
8.9,3,한경면,79.1,71,9055.75,353.25,12551.04,736.95,100.94,75.9
30.59,3,한림읍,91.09,110,21216.5,3531.75,34604.11,2673.45,351.08,88
110.15,3,화북동,8.29,77,24796.5,381.75,36889.16,333.1,61.54,93.7
14.22,3,효돈동,6.6,21,5293.25,75,5805.69,115.42,16.01,106.6
38.9,4,건입동,2.53,30,9335.75,239.75,23726.83,773.5,513.07,74.2
13.75,4,구좌읍,185.93,104,15523.25,599,30012.99,751.64,260.28,98
45.32,4,남원읍,188.71,52,18957.75,708.75,27106.95,1151.48,556.94,124.4
231.31,4,노형동,45.21,160,54154,2173.75,77054.37,2716.45,1057.44,75.3
45.77,4,대륜동,22.24,35,14382,198.75,28827.64,627.91,209.4,126.9
78.64,4,대정읍,78.63,86,21452.5,1671,25278,2144.83,229.14,98.5
43.94,4,대천동,56.44,36,13679.25,220.25,20794.6,438.14,117.73,126.9
15.44,4,도두동,4.03,25,3160,122.25,12852.53,298.77,791.07,75.3
83.29,4,동홍동,14.3,49,22980,1170.75,25944.06,557.39,132.72,182.1
13.4,4,봉개동,47.34,32,4926.5,87.75,16954.33,391.53,158.03,75.9
59.39,4,삼도1동,1.27,31,13887.75,152.5,22006.42,289.27,104.86,74.2
32.45,4,삼도2동,0.83,28,8238,256.25,19705.86,402.69,604.89,74.2
91.07,4,삼양동,9.53,73,25199,246,17126.65,214.48,76.46,75.9
33.6,4,서홍동,14.71,23,10587.25,121,12324.29,614.59,676.09,182.1
44.05,4,성산읍,91.09,58,15419.25,1646.5,32720.16,1077.4,680.77,124.4
23,4,송산동,4.8,18,4267.75,535.25,5786.91,505.75,61.53,124.1
110.59,4,아라동,70.64,113,34705.75,1115.25,49326.02,1143.52,162.44,88.7
27.38,4,안덕면,105.6,67,11904.25,600.5,36443.68,1521.59,765.54,119.9
26.03,4,영천동,46.33,34,5239.5,174.75,14174.76,832.35,174.5,124.7
13.78,4,예래동,37.3,18,3995,238.25,24116.13,633.86,667.69,124.6
53.15,4,오라동,28.74,81,15093.75,224,43632.51,687.28,169.51,75.3
88.63,4,외도동,2.56,65,21580.75,288,17794.36,301.4,126.13,69.9
33.63,4,용담1동,0.61,25,7322,88,14934.83,180.17,52.59,75.3
60.86,4,용담2동,4.93,59,15125.75,235.5,41711.48,819.42,2522.68,75.3
43.03,4,이도1동,0.69,25,7715,130.25,32800.32,457.82,132.12,74.2
209.05,4,이도2동,5.4,118,49814.75,625.25,87162.89,937.34,258.06,74.2
18.56,4,이호동,2.56,33,4496.5,164.5,11366.86,312.68,146.34,69.9
18.8,4,일도1동,0.33,10,2742.75,84.75,9892.78,331.94,62.01,74.2
143.72,4,일도2동,2.18,81,33763,294.5,36710.14,378.55,118.95,74.2
18.37,4,정방동,0.44,9,2275.5,114.5,13517.2,681.61,227.33,124.1
24.34,4,조천읍,150.6,136,24595,579.5,45352.25,1065.52,414.4,71
49.3,4,중문동,56.44,40,11250.5,307.75,18712.61,846.48,344.82,122.2
39.89,4,중앙동,0.35,5,3700.25,94.25,16055.46,338.43,62.84,124.1
25.95,4,천지동,1.39,11,3537.25,107.25,6689.54,203.09,118.21,124.1
24.25,4,표선면,135.16,47,12320,401.75,23891.19,507.33,312.81,128.4
9.31,4,한경면,79.1,71,9070.75,349.25,13039.82,815.04,101.31,82.3
31.5,4,한림읍,91.09,110,21230.75,3532.25,35437.18,2439.53,348.85,77.6
102.4,4,화북동,8.29,76,24772.5,379.75,32556.01,312.63,60.71,74.2
12.3,4,효돈동,6.6,21,5285.75,73.25,5610.28,117.67,19.85,124.7
42.31,5,건입동,2.53,30,9320.75,241,25701.79,814.57,510.48,59.8
15.49,5,구좌읍,185.93,104,15535,599.75,33210.1,804.24,300.29,138.3
52.88,5,남원읍,188.71,52,18959.5,704.75,28713.43,1213.1,526.21,214.3
246.24,5,노형동,45.21,160,54228,2215.5,79325.65,2727.47,1152.59,62.4
50.49,5,대륜동,22.24,36,14406.5,195.5,31662.11,573.66,223.78,218
89.28,5,대정읍,78.63,86,21485.5,1665,27786.17,2149.66,205.55,152.2
49.89,5,대천동,56.44,36,13686,214.5,21995.18,426.64,112.78,218
17.06,5,도두동,4.03,25,3159.5,122.5,14046.86,319.84,873.48,62.4
99.13,5,동홍동,14.3,49,22991.75,1160.75,27266.83,537.25,145.02,296.4
14.81,5,봉개동,47.34,32,4921.5,87.5,17721.24,335.85,148.49,58.1
63.36,5,삼도1동,1.27,31,13871,218.5,23062.51,328.22,112.75,59.8
34.35,5,삼도2동,0.83,28,8228.5,260.5,20840.62,456.72,622.11,59.8
99.05,5,삼양동,9.53,73,25241,242.75,18331.92,230.46,100.33,58.1
40.3,5,서홍동,14.71,22,10602.25,123.25,13022.85,654.94,280.03,296.4
45.64,5,성산읍,91.09,58,15422,1642.25,36033.82,1046.14,683.32,188.8
29.77,5,송산동,4.8,19,4246,536,6407.36,335.39,75.17,229.1
121.75,5,아라동,70.64,113,34837.25,1110.5,50056.2,944.06,138.95,83.1
30.84,5,안덕면,105.6,67,11931.25,602.75,41184.83,1517.54,940.48,200.2
26.65,5,영천동,46.33,35,5235.25,174.5,14835.49,734.5,154.68,226
15.48,5,예래동,37.3,18,3993.75,239.25,27256.95,672.14,729.07,207.9
58,5,오라동,28.74,80,15159.75,227.75,44748.08,669.73,192.18,62.4
95.59,5,외도동,2.56,65,21624,289.75,18693.82,350.21,137.08,78.7
35.91,5,용담1동,0.61,25,7304.5,87,15450.63,195.49,59.91,62.4
64.61,5,용담2동,4.93,59,15117.25,232.75,47168.17,979.01,2813.95,62.4
46.39,5,이도1동,0.69,25,7698.75,129.25,32488.79,476.87,143.95,59.8
20.08,5,이호동,2.56,33,4501.5,162.25,12365.43,315.28,166.63,78.7
19.31,5,일도1동,0.33,10,2734,87.5,10579.37,306.63,62.19,59.8
153.99,5,일도2동,2.18,81,33726.75,292.5,38173.75,403.17,106.67,59.8
22.09,5,정방동,0.44,9,2281.75,113.25,14786.55,515.56,210.49,229.1
26.54,5,조천읍,150.6,134,24624.75,569.25,50293.41,1026.03,438.76,59.5
56.27,5,중문동,56.44,40,11290.75,307.5,20663.88,806.53,316.76,208.6
42.19,5,중앙동,0.35,5,3691,92.75,16247.48,327.76,67.1,229.1
30.46,5,천지동,1.39,11,3553.75,109.5,7409.13,199.34,111.09,229.1
27.21,5,표선면,135.16,48,12325,396.25,24399.76,569.29,296.36,216.5
11.3,5,한경면,79.1,71,9088.75,350.25,14014.1,776.8,103.06,128.1
35.12,5,한림읍,91.09,110,21237,3531.75,38962.41,2217.8,373.74,149.2
111,5,화북동,8.29,76,24759.25,380.5,32935.11,343.05,48.94,59.8
12.63,5,효돈동,6.6,20,5281,74,6098.52,138.59,18.05,226
43.03,6,건입동,2.53,32,12410.67,327,25723.22,890.71,559.48,156.8
15.86,6,구좌읍,185.93,104,20729.67,805,32454.36,829.08,260.37,190.6
56.72,6,남원읍,188.71,52,25282,953,26531.87,1002.49,866.6,219.3
49.76,6,대륜동,22.24,37,19236.67,267,29902.33,618.94,274.81,240.8
87.99,6,대정읍,78.63,89,28612.67,2132.67,23609.65,1709.03,140.96,223.4
50.67,6,대천동,56.44,36,18255,283.33,21301.43,423.9,108.52,240.8
17.47,6,도두동,4.03,26,4235,166,13807.84,387.21,788.78,162.9
104.18,6,동홍동,14.3,49,30671.33,1543.33,26756.19,559.06,159.54,238.2
15.31,6,봉개동,47.34,32,6569.67,116,16910.17,361.02,145.78,154.7
64.78,6,삼도1동,1.27,35,18477,241.33,22492.2,322.06,95.23,156.8
36.55,6,삼도2동,0.83,31,10948.67,349,20577.65,507.43,594.06,156.8
100.08,6,삼양동,9.53,76,33719.67,321.33,17639.53,199.14,86.38,154.7
39.71,6,서홍동,14.71,22,14160.67,165.67,12210.71,448.7,648.91,238.2
54.15,6,성산읍,91.09,73,20591.33,2207.67,33230.72,1103.06,685.62,214
31.79,6,송산동,4.8,19,5658,722,6159.72,398.79,69.68,229
121.63,6,아라동,70.64,118,46659.67,1470.67,52843.57,953.52,174.07,168.1
32.54,6,안덕면,105.6,67,15916,811.67,38573.06,1492.75,957.02,232
27.73,6,영천동,46.33,35,6986,233,14319.31,595.99,190.98,227.7
17.52,6,예래동,37.3,18,5323.33,322,26166.45,674.43,779.81,231.6
60.06,6,오라동,28.74,81,20295.33,308,42408.61,719.31,162.17,162.9
96.46,6,외도동,2.56,66,28888,386.33,18001.69,325.41,135.26,172.3
36.25,6,용담1동,0.61,28,9700.67,115.33,15112.26,200.01,54.63,162.9
65.7,6,용담2동,4.93,62,20124,309.67,47024.55,1156.17,2675.15,162.9
42.95,6,이도1동,0.69,27,10260.33,175,31616.52,483.51,130.68,156.8
20.48,6,이호동,2.56,33,6010.67,219,12240.2,323.54,137.59,172.3
16.49,6,일도1동,0.33,10,3642.33,114.33,10001.54,353.52,58.94,156.8
156.37,6,일도2동,2.18,87,44914.33,391.33,36818.07,367.35,83.72,156.8
22.81,6,정방동,0.44,10,3043.33,150.33,13255.6,574.36,312.1,229
28.8,6,조천읍,150.6,138,32898,756.67,47794.26,1090.41,503.99,164.7
63.24,6,중문동,56.44,41,15102,414.67,20044.46,933.72,453.05,229.2
40.63,6,중앙동,0.35,5,4909,120.67,16301.5,353.39,75.38,229
32.89,6,천지동,1.39,11,4731.33,149,6889.21,235.62,129.27,229
30.8,6,표선면,135.16,48,16444.67,526.33,23281.29,550.69,321.09,226.8
11.03,6,한경면,79.1,71,12143,482,13481.6,847.49,88.57,209.3
114.4,6,화북동,8.29,83,33002.67,506.67,33657.05,342.13,36.6,156.8
12.01,6,효돈동,6.6,20,7040.33,98,5916.24,132.43,11.11,227.7
52.73,7,건입동,2.53,30,9439.67,254,19591.8,734.67,505.02,235.7
12.36,7,구좌읍,185.93,103,15618.67,624,26495.56,876.2,255.5,288.1
60.28,7,남원읍,188.71,52,19016.67,747.67,21003.29,835.69,689.64,273.1
300.54,7,노형동,45.21,159,53939.33,2249.33,61699.28,2085.06,1173.23,236.2
58.09,7,대륜동,22.24,34,14249,203.33,24700.63,528,251.61,259
82.9,7,대정읍,78.63,82,21313.33,1585.67,16546.26,1015.8,100.6,205.2
57.52,7,대천동,56.44,36,13687,223,16887.27,307.47,86.08,259
20.22,7,도두동,4.03,25,3143.67,137,11212.14,362.6,934.86,236.2
125.27,7,동홍동,14.3,47,22960,1233.67,22320.21,408.79,209.49,260.7
17.94,7,봉개동,47.34,32,4830,87.67,13218.27,335.42,174.02,235.5
79.13,7,삼도1동,1.27,31,13978,177.33,18026.4,261.23,130.05,235.7
46.7,7,삼도2동,0.83,28,8289.67,264.67,16223.4,401.13,565.61,235.7
123.51,7,삼양동,9.53,73,25202.33,245.67,15135.97,187.54,85.87,235.5
48.76,7,서홍동,14.71,21,10517.67,121.33,9583.77,218.59,458.56,260.7
45.8,7,성산읍,91.09,57,15440,1719,27469.23,1185.91,709.3,303.5
34.46,7,송산동,4.8,18,4288.33,568.33,4770.72,308.11,80.68,261
148.86,7,아라동,70.64,112,34043.67,1116,38927.74,688.14,167.45,250
30.2,7,안덕면,105.6,65,11870.33,665.67,29626.5,1200.4,1150.72,260.6
41.33,7,애월읍,202.16,149,35899.67,1046,65612.75,2254.43,1488.46,174
29.17,7,영천동,46.33,35,5276,186.33,10253.94,401.34,122.82,260.8
18.84,7,예래동,37.3,17,4011,261.67,21457.38,559.68,979.91,261
71.22,7,오라동,28.74,81,15075,238,34099.86,622.23,211.95,236.2
116.1,7,외도동,2.56,64,21599,294,14164.41,282.77,123.5,213.4
42.49,7,용담1동,0.61,25,7375.33,87,12163.09,167.12,77.01,236.2
80.66,7,용담2동,4.93,58,15259,243.33,38910.94,1057.02,2874,236.2
54.57,7,이도1동,0.69,25,7743,134.33,25162.47,427.68,138.47,235.7
278.37,7,이도2동,5.4,118,50000.67,653.67,73507.58,849.44,222.85,235.7
24.78,7,이호동,2.56,33,4520.33,165,10164.19,293.82,147.12,213.4
20.65,7,일도1동,0.33,10,2805.67,95.33,7931.83,287.11,58.52,235.7
191.23,7,일도2동,2.18,81,33983,304.33,31021.02,354.49,106.78,235.7
24.02,7,정방동,0.44,10,2319,114.67,10980.75,462.06,271.77,261
23.12,7,조천읍,150.6,133,24501.67,590,38956.48,1065.47,576.53,239.7
66.07,7,중문동,56.44,39,11295.67,310.67,15618.61,697.68,362.15,260.5
49.49,7,중앙동,0.35,5,3783.67,96,12948.85,258.99,78.23,261
29.18,7,천지동,1.39,11,3571.33,112,5394.05,192.42,135.57,261
31.77,7,표선면,135.16,47,12345.67,414.33,18395.08,472.05,319.88,297.7
7.49,7,한경면,79.1,69,9094.67,373.33,10114.04,566.71,100.16,150.8
24.78,7,한림읍,91.09,110,21248,3633.67,30086.4,1863.64,535.6,172.4
134.99,7,화북동,8.29,76,24903,399.33,26966.75,268.84,32.9,235.7
9.38,7,효돈동,6.6,19,5297,78,4726.48,109.28,17.47,260.8
49.59,8,건입동,2.53,30,9417.33,254.67,20208.26,722.35,610.6,254.2
13.72,8,구좌읍,185.93,101,15620.67,624,30434.91,930.76,303.3,216.1
62.51,8,남원읍,188.71,52,19011.33,746.67,22825.67,886.9,737.11,210.5
294.05,8,노형동,45.21,159,54041.67,2216.33,62782.29,2311.4,1622.45,254.2
56.67,8,대륜동,22.24,34,14256.67,206,26859.79,591.06,296.47,205.6
89.53,8,대정읍,78.63,82,21432.67,1757.33,20172.41,1839.89,165.58,224.5
60.39,8,대천동,56.44,36,13703.67,225,17791.45,336.81,109.32,205.6
20.01,8,도두동,4.03,25,3154.33,133.33,11714.06,335.87,1100.06,254.2
122.04,8,동홍동,14.3,47,22982.33,1228.33,21887.35,449.37,245.78,221.4
17.22,8,봉개동,47.34,32,4835.33,87.33,14503.28,530.95,238.65,243.9
76.68,8,삼도1동,1.27,31,13961.67,171,17516.4,260.97,181.06,254.2
44.27,8,삼도2동,0.83,28,8258,266,16732.12,397.9,653.34,254.2
116.99,8,삼양동,9.53,73,25267.33,249.33,15208.4,205.56,75.22,243.9
53.52,8,서홍동,14.71,21,10516.67,118.67,9764.45,368.97,532.72,221.4
53.95,8,성산읍,91.09,57,15464,1728.67,31694.1,1291.3,809.91,254
32.36,8,송산동,4.8,19,4301.33,563.33,5270.55,315.83,86.85,213.2
144.53,8,아라동,70.64,112,34298.33,1099,39814.3,699.76,224.2,432.7
34.02,8,안덕면,105.6,65,11913.67,665.33,39681.26,2161.6,1531.16,205.7
43.35,8,애월읍,202.16,148,35972,1039,73136.46,3043.71,1663.31,216.7
35.02,8,영천동,46.33,33,5276.33,186,11035.25,436.65,116.46,213.2
19.01,8,예래동,37.3,17,4015,263.67,23263.32,614.24,1240.86,233.5
69.73,8,오라동,28.74,81,15128.33,242.33,34312.05,591.45,254.69,254.2
111.14,8,외도동,2.56,64,21652.33,293.67,14295.75,248.73,127.88,263.3
41.7,8,용담1동,0.61,25,7358.33,87.67,12033.1,159.42,71.2,254.2
51.44,8,이도1동,0.69,25,7727.67,133.33,24895.61,396.3,159.97,254.2
267.29,8,이도2동,5.4,118,49996.33,651.67,70367.92,788.89,304.32,254.2
24.89,8,이호동,2.56,33,4533.33,168.67,10456.6,320.09,171.82,263.3
19.67,8,일도1동,0.33,10,2791,94,7886.23,232.55,71.26,254.2
183.83,8,일도2동,2.18,81,33935.67,311,29558.32,319.14,139.93,254.2
26.75,8,정방동,0.44,10,2299.67,116.67,11965.97,494.02,296.39,213.2
25.94,8,조천읍,150.6,129,24516.67,588,43409.52,1162.23,728.72,272.5
67.77,8,중문동,56.44,39,11308,315.33,17507.39,823.23,446.87,219
51.36,8,중앙동,0.35,5,3762,97,12677.9,258.3,69.51,213.2
35.7,8,천지동,1.39,11,3569,112.67,5953.56,198.74,139.56,213.2
27.49,8,표선면,135.16,47,12335.33,412.67,20362.21,468.7,317.36,224.5
8.78,8,한경면,79.1,70,9081.33,372.67,11464,717.01,100.84,206.4
26.78,8,한림읍,91.09,110,21279.33,3635.67,34679.2,2047.87,576.44,232.6
129.14,8,화북동,8.29,77,24850.33,399.33,26112.71,281.84,53.3,254.2
16.79,8,효돈동,6.6,20,5298.33,79.67,4904.02,104.89,25.65,213.2
44.37,9,건입동,2.53,30,9403.33,253.67,18365.39,697.14,564.2,399.2
248.59,9,노형동,45.21,159,54056.67,2229.67,59067.29,2068.25,1302.65,399.2
47.41,9,대륜동,22.24,34,14275.67,211,20950.64,482.8,237,421.3
64.87,9,대정읍,78.63,83,21450.33,1743.67,18379.08,1679.39,113.4,289.8
52.54,9,대천동,56.44,36,13726.33,226.67,15204.63,290.13,79.18,421.3
17.43,9,도두동,4.03,25,3155.67,132.33,9103.24,282.56,851.39,399.2
108.17,9,동홍동,14.3,48,23038.67,1220,19869.96,385.25,185.44,395.7
15.17,9,봉개동,47.34,32,4839.33,88.33,12085.83,316.72,225.73,399.2
65.62,9,삼도1동,1.27,32,13946.33,167.67,17148.42,244.75,130.89,399.2
37.63,9,삼도2동,0.83,28,8258.67,261.67,15612.04,371.21,516.25,399.2
100.26,9,삼양동,9.53,73,25287.33,250,13182.73,153.09,57.66,399.2
47.48,9,서홍동,14.71,21,10506,121.67,9693.44,436.44,717.92,395.7
26.09,9,송산동,4.8,19,4293.33,573.33,4242.91,304.73,84.54,395.7
21.63,9,안덕면,105.6,65,11953.33,678,26228.1,1200.15,749.45,376.8
33.08,9,애월읍,202.16,148,36020,1034.67,58131.94,2854.69,1616.96,327.8
28.31,9,영천동,46.33,31,5265.67,185.67,9904.1,438.62,123.48,395.7
13.75,9,예래동,37.3,17,4019.33,266,16721.09,478.16,690.17,394.3
60.07,9,오라동,28.74,81,15146.67,238.33,31321.25,518.62,171.32,399.2
94.18,9,외도동,2.56,64,21672,295,13259.87,262.68,126.75,466.5
37.35,9,용담1동,0.61,25,7328.33,88.67,11708.31,154.65,63.46,399.2
67.4,9,용담2동,4.93,58,15191,242.67,33497.31,813.94,2698.23,399.2
45.09,9,이도1동,0.69,25,7737.33,138,23393.7,374.54,136.21,399.2
228.48,9,이도2동,5.4,117,49952.67,656.67,67689.13,779.02,230.57,399.2
20.47,9,이호동,2.56,33,4540.33,171,8243.71,262.57,137.67,466.5
18.97,9,일도1동,0.33,10,2782,93,7393.63,235.55,60.44,399.2
159.07,9,일도2동,2.18,81,33913,317.33,28683.61,315.87,134.32,399.2
